config,alpha,RMSE_mm,BCRLB_tau,N0,S_PN,S_DSE,sigma2_gamma_psd,S_total,E_sig_target,E_sig_actual,A_scale
AWGN,0.05,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.06315789473684211,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.07631578947368421,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.08947368421052632,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.10263157894736842,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.11578947368421053,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.12894736842105264,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.14210526315789473,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.15526315789473683,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.16842105263157894,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.18157894736842106,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.19473684210526315,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.20789473684210524,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.22105263157894733,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.23421052631578948,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.24736842105263157,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.26052631578947366,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.27368421052631575,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.2868421052631579,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.3,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.05,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.06315789473684211,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.07631578947368421,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.08947368421052632,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.10263157894736842,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.11578947368421053,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.12894736842105264,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.14210526315789473,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.15526315789473683,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.16842105263157894,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.18157894736842106,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.19473684210526315,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.20789473684210524,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.22105263157894733,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.23421052631578948,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.24736842105263157,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.26052631578947366,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.27368421052631575,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.2868421052631579,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.3,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.05,3974.873669010405,7.031779536134985e-16,4.0038821e-21,6.482658017759571e-13,0.0,4.6219772958802394e-11,4.6868038764582234e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.06315789473684211,3969.1425208765736,7.011516694979161e-16,4.0038821e-21,5.13210426405966e-13,0.0,4.6219772958802394e-11,4.6732983389212246e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.07631578947368421,3965.3831394752738,6.998241040428792e-16,4.0038821e-21,4.2472587012907536e-13,0.0,4.6219772958802394e-11,4.664449883293535e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.08947368421052632,3962.7273112001994,6.988869990157945e-16,4.0038821e-21,3.622661833453878e-13,0.0,4.6219772958802394e-11,4.6582039146151663e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.10263157894736842,3960.751310097634,6.981901773289879e-16,4.0038821e-21,3.1582180086520986e-13,0.0,4.6219772958802394e-11,4.6535594763671486e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.11578947368421053,3959.223724690356,6.976517242073647e-16,4.0038821e-21,2.7993295985779963e-13,0.0,4.6219772958802394e-11,4.649970592266408e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.12894736842105264,3958.007470041009,6.972231594779094e-16,4.0038821e-21,2.5136837211720785e-13,0.0,4.6219772958802394e-11,4.6471141334923486e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.14210526315789473,3957.016171331343,6.968739585872421e-16,4.0038821e-21,2.2809352284709596e-13,0.0,4.6219772958802394e-11,4.644786648565337e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.15526315789473683,3956.1927005454077,6.965839442882133e-16,4.0038821e-21,2.0876356328378278e-13,0.0,4.6219772958802394e-11,4.642853652609006e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.16842105263157894,3955.497763723445,6.963392447234078e-16,4.0038821e-21,1.9245390990223726e-13,0.0,4.6219772958802394e-11,4.6412226872708514e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.18157894736842106,3954.9034455353944,6.961300088636468e-16,4.0038821e-21,1.7850797440207512e-13,0.0,4.6219772958802394e-11,4.639828093720835e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.19473684210526315,3954.3893685842036,6.959490481200694e-16,4.0038821e-21,1.664466247803133e-13,0.0,4.6219772958802394e-11,4.638621958758659e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.20789473684210524,3953.940309981753,6.957909937997299e-16,4.0038821e-21,1.5591202827523021e-13,0.0,4.6219772958802394e-11,4.637568499108151e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.22105263157894733,3953.544668477697,6.956517554699066e-16,4.0038821e-21,1.4663155040170457e-13,0.0,4.6219772958802394e-11,4.636640451320798e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.23421052631578948,3953.193447902431,6.955281618962435e-16,4.0038821e-21,1.38393822851047e-13,0.0,4.6219772958802394e-11,4.6358166785657325e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.24736842105263157,3952.8795648147498,6.954177165750979e-16,4.0038821e-21,1.3103244929514028e-13,0.0,4.6219772958802394e-11,4.635080541210142e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.26052631578947366,3952.5973658129324,6.953184273469971e-16,4.0038821e-21,1.244146488256887e-13,0.0,4.6219772958802394e-11,4.634418761163197e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.27368421052631575,3952.3422839943664,6.952286851600598e-16,4.0038821e-21,1.1843317532445367e-13,0.0,4.6219772958802394e-11,4.633820613813073e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.2868421052631579,3952.110589910084,6.951471762012821e-16,4.0038821e-21,1.1300046086002921e-13,0.0,4.6219772958802394e-11,4.6332773423666304e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.3,3951.899208019488,6.950728171511688e-16,4.0038821e-21,1.0804430029599285e-13,0.0,4.6219772958802394e-11,4.632781726310227e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.05,4002.2689421987698,7.12904117368294e-16,4.0038821e-21,6.482658017759571e-13,6.482658017759569e-13,4.6219772958802394e-11,4.751630456635819e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.06315789473684211,3977.6939856263307,7.041761679982955e-16,4.0038821e-21,5.13210426405966e-13,2.01588107577558e-13,4.6219772958802394e-11,4.69345714967898e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.07631578947368421,3968.708232573108,7.009982432560013e-16,4.0038821e-21,4.2472587012907536e-13,7.825842928212584e-14,4.6219772958802394e-11,4.672275726221748e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.08947368421052632,3964.229726186608,6.994170467676783e-16,4.0038821e-21,3.622661833453878e-13,3.5328608433623206e-14,4.6219772958802394e-11,4.6617367754585286e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.10263157894736842,3961.5083502050556,6.984571006667845e-16,4.0038821e-21,3.1582180086520986e-13,1.779090666697575e-14,4.6219772958802394e-11,4.655338567033846e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.11578947368421053,3959.6380723122575,6.97797755590833e-16,4.0038821e-21,2.7993295985779963e-13,9.733246763590987e-15,4.6219772958802394e-11,4.650943916942767e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.12894736842105264,3958.249456305481,6.973084163081356e-16,4.0038821e-21,2.5136837211720785e-13,5.682516642410839e-15,4.6219772958802394e-11,4.6476823851565896e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.14210526315789473,3957.165078705478,6.969264080184668e-16,4.0038821e-21,2.2809352284709596e-13,3.4958461982323083e-15,4.6219772958802394e-11,4.6451362331851604e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.15526315789473683,3956.288357875493,6.966176302943831e-16,4.0038821e-21,2.0876356328378278e-13,2.245231146510027e-15,4.6219772958802394e-11,4.6430781757236566e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.16842105263157894,3955.5614662255093,6.963616737131415e-16,4.0038821e-21,1.9245390990223726e-13,1.4949313397627751e-15,4.6219772958802394e-11,4.6413721804048275e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.18157894736842106,3954.94718538249,6.961454068570196e-16,4.0038821e-21,1.7850797440207512e-13,1.0263031521317966e-15,4.6219772958802394e-11,4.6399307240360485e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.19473684210526315,3954.420201974424,6.959599011495676e-16,4.0038821e-21,1.664466247803133e-13,7.233733717379146e-16,4.6219772958802394e-11,4.638694296095832e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.20789473684210524,3953.9625479043584,6.957988204175178e-16,4.0038821e-21,1.5591202827523021e-13,5.216577453807166e-16,4.6219772958802394e-11,4.637620664882689e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.22105263157894733,3953.5610320086344,6.956575140200354e-16,4.0038821e-21,1.4663155040170457e-13,3.8381742384017766e-16,4.6219772958802394e-11,4.636678833063182e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.23421052631578948,3953.205704282717,6.955324746985279e-16,4.0038821e-21,1.38393822851047e-13,2.8745580489819134e-16,4.6219772958802394e-11,4.635845424146222e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.24736842105263157,3952.888891077312,6.954209980592718e-16,4.0038821e-21,1.3103244929514028e-13,2.1871665156738718e-16,4.6219772958802394e-11,4.6351024128752986e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.26052631578947366,3952.6045636507297,6.953209597546021e-16,4.0038821e-21,1.244146488256887e-13,1.687893899289941e-16,4.6219772958802394e-11,4.63443564010219e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.27368421052631575,3952.347910508922,6.952306646025369e-16,4.0038821e-21,1.1843317532445367e-13,1.3193329834213584e-16,4.6219772958802394e-11,4.633833807142908e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.2868421052631579,3952.115039286802,6.951487414274225e-16,4.0038821e-21,1.1300046086002921e-13,1.04325056060626e-16,4.6219772958802394e-11,4.6332877748722367e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN+DSE,0.3,3951.9027637651534,6.950740679438328e-16,4.0038821e-21,1.0804430029599285e-13,8.336751566048838e-17,4.6219772958802394e-11,4.632790063061793e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.05,4002.2689421987698,7.12904117368294e-16,4.0038821e-21,6.482658017759571e-13,6.482658017759569e-13,4.6219772958802394e-11,4.751630456635819e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.06315789473684211,3977.6939856263307,7.041761679982955e-16,4.0038821e-21,5.13210426405966e-13,2.01588107577558e-13,4.6219772958802394e-11,4.69345714967898e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.07631578947368421,3968.708232573108,7.009982432560013e-16,4.0038821e-21,4.2472587012907536e-13,7.825842928212584e-14,4.6219772958802394e-11,4.672275726221748e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.08947368421052632,3964.229726186608,6.994170467676783e-16,4.0038821e-21,3.622661833453878e-13,3.5328608433623206e-14,4.6219772958802394e-11,4.6617367754585286e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.10263157894736842,3961.5083502050556,6.984571006667845e-16,4.0038821e-21,3.1582180086520986e-13,1.779090666697575e-14,4.6219772958802394e-11,4.655338567033846e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.11578947368421053,3959.6380723122575,6.97797755590833e-16,4.0038821e-21,2.7993295985779963e-13,9.733246763590987e-15,4.6219772958802394e-11,4.650943916942767e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.12894736842105264,3958.249456305481,6.973084163081356e-16,4.0038821e-21,2.5136837211720785e-13,5.682516642410839e-15,4.6219772958802394e-11,4.6476823851565896e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.14210526315789473,3957.165078705478,6.969264080184668e-16,4.0038821e-21,2.2809352284709596e-13,3.4958461982323083e-15,4.6219772958802394e-11,4.6451362331851604e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.15526315789473683,3956.288357875493,6.966176302943831e-16,4.0038821e-21,2.0876356328378278e-13,2.245231146510027e-15,4.6219772958802394e-11,4.6430781757236566e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.16842105263157894,3955.5614662255093,6.963616737131415e-16,4.0038821e-21,1.9245390990223726e-13,1.4949313397627751e-15,4.6219772958802394e-11,4.6413721804048275e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.18157894736842106,3954.94718538249,6.961454068570196e-16,4.0038821e-21,1.7850797440207512e-13,1.0263031521317966e-15,4.6219772958802394e-11,4.6399307240360485e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.19473684210526315,3954.420201974424,6.959599011495676e-16,4.0038821e-21,1.664466247803133e-13,7.233733717379146e-16,4.6219772958802394e-11,4.638694296095832e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.20789473684210524,3953.9625479043584,6.957988204175178e-16,4.0038821e-21,1.5591202827523021e-13,5.216577453807166e-16,4.6219772958802394e-11,4.637620664882689e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.22105263157894733,3953.5610320086344,6.956575140200354e-16,4.0038821e-21,1.4663155040170457e-13,3.8381742384017766e-16,4.6219772958802394e-11,4.636678833063182e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.23421052631578948,3953.205704282717,6.955324746985279e-16,4.0038821e-21,1.38393822851047e-13,2.8745580489819134e-16,4.6219772958802394e-11,4.635845424146222e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.24736842105263157,3952.888891077312,6.954209980592718e-16,4.0038821e-21,1.3103244929514028e-13,2.1871665156738718e-16,4.6219772958802394e-11,4.6351024128752986e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.26052631578947366,3952.6045636507297,6.953209597546021e-16,4.0038821e-21,1.244146488256887e-13,1.687893899289941e-16,4.6219772958802394e-11,4.63443564010219e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.27368421052631575,3952.347910508922,6.952306646025369e-16,4.0038821e-21,1.1843317532445367e-13,1.3193329834213584e-16,4.6219772958802394e-11,4.633833807142908e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.2868421052631579,3952.115039286802,6.951487414274225e-16,4.0038821e-21,1.1300046086002921e-13,1.04325056060626e-16,4.6219772958802394e-11,4.6332877748722367e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.3,3951.9027637651534,6.950740679438328e-16,4.0038821e-21,1.0804430029599285e-13,8.336751566048838e-17,4.6219772958802394e-11,4.632790063061793e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
